Name:;Daten Ger. INSTR 04.09.2020 14:34:57
Verantwortlich:;Labor
Kommentare:;
Datum der Datenerfassung:;04.09.2020 14:34:58
Messgerät:;34970A;Adresse:;ASRL4::INSTR;Module:;2;Steckplatz1:;34901A;Steckplatz2:;34907A
Kanäle gesamt:;10
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Windgeschwindigkeit in m pro s;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
102;Windrichtung in Grad;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-36;0;;Aus;0;1;Alarm 1
103;Relative Feuchte in V;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;10;0;;Aus;0;1;Alarm 1
104;Temperature;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-10;-30;C;Aus;0;1;Alarm 1
107;TA GBS;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;1272,5;-1541,1;;Aus;0;1;Alarm 1
109;ENNOS SSR81;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;13670,8192;0;;Aus;0;1;Alarm 1
111;CM3;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;51587,7358;0;;Aus;0;1;Alarm 1
112;CM11;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;197164;0;;Aus;0;1;Alarm 1
113;CM11 Schattenring;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;228578,6956;0;;Aus;0;1;Alarm 1
203;Niederschlag;Summieren;;;Totalize#Rise;False;1;0;;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Windgeschwindigkeit in m pro s>;Alarm 101;102 <Windrichtung in Grad>;Alarm 102;103 <Relative Feuchte in V>;Alarm 103;104 <Temperature> (C);Alarm 104;107 <TA GBS>;Alarm 107;109 <ENNOS SSR81>;Alarm 109;111 <CM3>;Alarm 111;112 <CM11>;Alarm 112;113 <CM11 Schattenring>;Alarm 113;203 <Niederschlag>;Alarm 203
89;04.09.2020 14:36:26;1,6277667;0;137,94954;0;5,9586609;0;24,626171;0;356,5183;0;420,95483;0;449,44231;0;432,34654;0;395,12936;0;0;0
90;04.09.2020 14:36:27;1,671934;0;96,051056;0;5,9596718;0;24,673383;0;351,71741;0;420,90361;0;449,02352;0;431,95675;0;394,48706;0;0;0
91;04.09.2020 14:36:28;1,4870415;0;53,83215;0;5,9594529;0;24,673487;0;350,01989;0;420,96336;0;448,57249;0;431,62847;0;393,89229;0;0;0
92;04.09.2020 14:36:29;1,4202128;0;182,071;0;5,9643408;0;24,673904;0;352,97731;0;421,15119;0;448,38456;0;431,21798;0;393,24999;0;0;0
93;04.09.2020 14:36:30;1,3105597;0;190,13081;0;5,9689994;0;24,724763;0;350,53716;0;421,51543;0;448,19667;0;431,11545;0;392,41728;0;0;0
94;04.09.2020 14:36:31;1,1819406;0;199,2599;0;5,9721885;0;24,725284;0;353,773;0;422,11159;0;448,14297;0;431,15646;0;391,98915;0;0;0
95;04.09.2020 14:36:32;1,1367221;0;222,71594;0;5,9929281;0;24,723721;0;351,95613;0;423,02364;0;448,42753;0;431,01273;0;391,34684;0;0;0
96;04.09.2020 14:36:33;1,1206239;0;213,76282;0;5,997889;0;24,723304;0;351,18703;0;424,36109;0;448,85168;0;431,27949;0;390,3715;0;0;0
97;04.09.2020 14:36:34;1,2034465;0;222,04886;0;6,0037669;0;24,724346;0;349,63534;0;426,29046;0;449,52284;0;431,7515;0;389,8956;0;0;0
98;04.09.2020 14:36:35;1,2341908;0;199,21826;0;6,0311765;0;24,725388;0;351,96949;0;429,028;0;450,55372;0;432,34654;0;389,20574;0;0;0
99;04.09.2020 14:36:36;1,1532887;0;185,99885;0;6,0661004;0;24,723095;0;352,07549;0;432,78997;0;452,06782;0;433,16734;0;388,53944;0;0;0
100;04.09.2020 14:36:37;1,2150374;0;213,48256;0;6,1031608;0;24,725492;0;350,31168;0;438,52969;0;454,36043;0;434,91165;0;387,87336;0;0;0
101;04.09.2020 14:36:38;1,1477769;0;220,73383;0;6,1346662;0;24,713194;0;355,47052;0;452,06088;0;458,07051;0;437,16898;0;387,56409;0;0;0
102;04.09.2020 14:36:39;1,4134935;0;212,2343;0;6,1695901;0;24,761865;0;357,68531;0;462,98116;0;464,331;0;441,45769;0;386,9931;0;0;0
103;04.09.2020 14:36:40;1,5980112;0;231,54413;0;6,1857023;0;24,761448;0;362,67172;0;466,30917;0;469,85584;0;446,34164;0;386,42234;0;0;0
104;04.09.2020 14:36:41;1,7524145;0;226,51848;0;6,21208;0;24,762282;0;367,12777;0;484,52573;0;476,4116;0;451,61538;0;385,68472;0;0;0
105;04.09.2020 14:36:42;1,8954766;0;225,39667;0;6,2364881;0;24,766867;0;380,85384;0;532,17656;0;488,39023;0;459,88503;0;385,28036;0;0;0
