Name:;Daten Ger. INSTR 04.09.2020 14:18:43
Verantwortlich:;Labor
Kommentare:;
Datum der Datenerfassung:;04.09.2020 14:18:43
Messgerät:;34970A;Adresse:;ASRL4::INSTR;Module:;2;Steckplatz1:;34901A;Steckplatz2:;34907A
Kanäle gesamt:;10
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Windgeschwindigkeit in m pro s;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-5;0;;Aus;0;1;Alarm 1
102;Windrichtung in Grad;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-36;0;;Aus;0;1;Alarm 1
103;Relative Feuchte in V;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;10;0;;Aus;0;1;Alarm 1
104;Temperature;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;-10;-30;C;Aus;0;1;Alarm 1
107;TA GBS;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;1272,5;-1541,1;;Aus;0;1;Alarm 1
109;ENNOS SSR81;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;13670,8192;0;;Aus;0;1;Alarm 1
111;CM3;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;51587,7358;0;;Aus;0;1;Alarm 1
112;CM11;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;197164;0;;Aus;0;1;Alarm 1
113;CM11 Schattenring;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;True;228578,6956;0;;Aus;0;1;Alarm 1
203;Niederschlag;Summieren;;;Totalize#Rise;False;1;0;;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Windgeschwindigkeit in m pro s>;Alarm 101;102 <Windrichtung in Grad>;Alarm 102;103 <Relative Feuchte in V>;Alarm 103;104 <Temperature> (C);Alarm 104;107 <TA GBS>;Alarm 107;109 <ENNOS SSR81>;Alarm 109;111 <CM3>;Alarm 111;112 <CM11>;Alarm 112;113 <CM11 Schattenring>;Alarm 113;203 <Niederschlag>;Alarm 203
47;04.09.2020 14:19:29;2,6437799;0;179,84538;0;5,988009;0;24,13363;0;182,36293;0;223,64861;0;228,49028;0;217,59926;0;189,36899;0;0;0
48;04.09.2020 14:19:30;2,6971126;0;219,33099;0;5,9773995;0;24,123625;0;181,58047;0;224,24335;0;229,0433;0;218,23551;0;189,48808;0;0;0
49;04.09.2020 14:19:31;2,5891512;0;195,66821;0;5,9741478;0;24,123625;0;180,67865;0;224,82102;0;229,65539;0;218,72783;0;190,84401;0;0;0
50;04.09.2020 14:19:32;2,4221891;0;204,06644;0;5,9701354;0;24,11956;0;182,82714;0;225,43285;0;230,26212;0;219,52812;0;191,24837;0;0;0
51;04.09.2020 14:19:33;2,3814569;0;200,16411;0;5,9702917;0;24,124146;0;183,49024;0;226,0219;0;230,86347;0;220,04114;0;192,08108;0;0;0
52;04.09.2020 14:19:34;2,2755825;0;207,25255;0;5,9690411;0;24,13488;0;180,75831;0;226,63514;0;231,42723;0;220,67738;0;192,7947;0;0;0
53;04.09.2020 14:19:35;2,2274128;0;207,58496;0;5,9833921;0;24,134672;0;185,09486;0;227,25123;0;232,02858;0;221,35445;0;193,48478;0;0;0
54;04.09.2020 14:19:36;2,303662;0;198,30655;0;5,9749607;0;24,133838;0;185,14792;0;227,86304;0;232,76417;0;221,80595;0;193,88914;0;0;0
55;04.09.2020 14:19:37;2,3416409;0;234,24249;0;5,9737101;0;24,122687;0;185,5326;0;228,47771;0;233,53195;0;222,29847;0;194,6743;0;0;0
56;04.09.2020 14:19:38;2,3007578;0;241,29491;0;5,9691141;0;24,135193;0;184,75014;0;229,07672;0;234,22457;0;223,07825;0;195,10243;0;0;0
57;04.09.2020 14:19:39;2,2881883;0;224,09063;0;5,9643617;0;24,119769;0;186,43442;0;229,69708;0;234,86348;0;223,67329;0;195,91137;0;0;0
58;04.09.2020 14:19:40;2,1944463;0;243,14009;0;5,9607453;0;24,13488;0;185,37341;0;230,30748;0;235,55074;0;224,18631;0;196,60122;0;0;0
59;04.09.2020 14:19:41;2,0059885;0;218,91941;0;5,9594842;0;24,124146;0;185,21422;0;230,92357;0;236,16819;0;224,84307;0;197,14844;0;0;0
60;04.09.2020 14:19:42;1,8511741;0;127,34519;0;5,9691766;0;24,127585;0;188,1584;0;231,54108;0;236,85544;0;225,54063;0;197,52902;0;0;0
61;04.09.2020 14:19:43;1,7078204;0;212,31834;0;5,9605472;0;24,129253;0;189,60396;0;232,13155;0;237,41919;0;226,11536;0;198,12378;0;0;0
62;04.09.2020 14:19:44;1,5575654;0;245,28579;0;5,9640803;0;24,134359;0;189,63043;0;232,72488;0;238,06889;0;226,75142;0;198,74232;0;0;0
63;04.09.2020 14:19:45;1,4427649;0;243,77153;0;5,964716;0;24,126022;0;188,01257;0;233,32105;0;238,70244;0;227,30545;0;199,31331;0;0;0
64;04.09.2020 14:19:46;1,4037763;0;238,18084;0;5,9654455;0;24,124563;0;191,23518;0;233,87595;0;239,29307;0;227,71594;0;199,83675;0;0;0
