Name:;Daten Ger. INSTR 04.09.2020 11:09:41
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:09:41
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
55;04.09.2020 11:10:35;-5,52;0;108,81662;0;109,46862;0;1090,7317;0;1940,8161;0;1961,3701;0;-0,000113943;0
56;04.09.2020 11:10:36;-5,519;0;108,81875;0;109,47075;0;1090,7295;0;1940,8161;0;1961,3915;0;-0,000113412;0
57;04.09.2020 11:10:37;-5,517;0;108,81769;0;109,47075;0;1090,7317;0;1940,8161;0;1961,4341;0;-0,000113624;0
58;04.09.2020 11:10:38;-5,517;0;108,81662;0;109,47288;0;1090,7306;0;1940,8055;0;1961,4341;0;-0,000113305;0
59;04.09.2020 11:10:39;-5,517;0;108,81875;0;109,47181;0;1090,7295;0;1940,7842;0;1961,4767;0;-0,000113518;0
60;04.09.2020 11:10:40;-5,515;0;108,81769;0;109,46968;0;1090,7285;0;1940,7735;0;1961,498;0;-0,000113943;0
61;04.09.2020 11:10:41;-5,518;0;108,81875;0;109,46968;0;1090,7263;0;1940,7629;0;1961,53;0;-0,000113518;0
62;04.09.2020 11:10:42;-5,515;0;108,81769;0;109,46862;0;1090,7242;0;1940,7735;0;1961,5619;0;-0,000113518;0
63;04.09.2020 11:10:43;-5,515;0;108,81769;0;109,47181;0;1090,7253;0;1940,7629;0;1961,5939;0;-0,00011373;0
64;04.09.2020 11:10:44;-5,514;0;108,81662;0;109,47075;0;1090,7242;0;1940,7522;0;1961,6365;0;-0,000113624;0
65;04.09.2020 11:10:45;-5,515;0;108,81662;0;109,46968;0;1090,7221;0;1940,7629;0;1961,7005;0;-0,000114473;0
66;04.09.2020 11:10:46;-5,515;0;108,81875;0;109,47181;0;1090,7178;0;1940,7416;0;1961,7218;0;-0,000113518;0
67;04.09.2020 11:10:47;-5,513;0;108,81769;0;109,47075;0;1090,72;0;1940,7416;0;1961,7537;0;-0,000113199;0
68;04.09.2020 11:10:48;-5,512;0;108,81982;0;109,47181;0;1090,7178;0;1940,7522;0;1961,7857;0;-0,000113412;0
69;04.09.2020 11:10:49;-5,509;0;108,81769;0;109,47075;0;1090,7168;0;1940,7416;0;1961,8283;0;-0,000114049;0
70;04.09.2020 11:10:50;-5,319;0;108,82089;0;109,47181;0;1090,7146;0;1940,7309;0;1961,8709;0;-0,00011373;0
71;04.09.2020 11:10:51;-4,742;0;108,81769;0;109,47075;0;1090,7146;0;1940,7202;0;1961,9029;0;-0,000113624;0
72;04.09.2020 11:10:52;-4,075;0;108,81875;0;109,47075;0;1090,7114;0;1940,7202;0;1961,9455;0;-0,000114898;0
73;04.09.2020 11:10:53;-3,421;0;108,81769;0;109,46968;0;1090,7114;0;1940,7096;0;1961,9881;0;-0,000114155;0
74;04.09.2020 11:10:54;-2,766;0;108,81769;0;109,46968;0;1090,7104;0;1940,6989;0;1962,0308;0;-0,000113943;0
75;04.09.2020 11:10:55;-2,152;0;108,81982;0;109,46968;0;1090,7061;0;1940,6989;0;1962,0627;0;-0,000114367;0
76;04.09.2020 11:10:56;-1,572;0;108,81875;0;109,47181;0;1090,7072;0;1940,6883;0;1962,1267;0;-0,000114898;0
77;04.09.2020 11:10:57;-1,001;0;108,81769;0;109,47075;0;1090,704;0;1940,6883;0;1962,148;0;-0,000114367;0
78;04.09.2020 11:10:58;-0,446;0;108,81662;0;109,47075;0;1090,6997;0;1940,6776;0;1962,2119;0;-0,000114686;0
79;04.09.2020 11:10:59;0,116;0;108,81982;0;109,47181;0;1090,6997;0;1940,6776;0;1962,2545;0;-0,000114792;0
80;04.09.2020 11:11:00;0,663;0;108,81662;0;109,47075;0;1090,6986;0;1940,667;0;1962,2971;0;-0,000114155;0
81;04.09.2020 11:11:01;1,192;0;108,81982;0;109,46968;0;1090,6976;0;1940,667;0;1962,3398;0;-0,00011458;0
82;04.09.2020 11:11:02;1,736;0;108,81875;0;109,47075;0;1090,6965;0;1940,6776;0;1962,393;0;-0,000114792;0
83;04.09.2020 11:11:03;2,258;0;108,81875;0;109,47075;0;1090,6965;0;1940,667;0;1962,4144;0;-0,000114792;0
84;04.09.2020 11:11:04;2,771;0;108,81875;0;109,46968;0;1090,6933;0;1940,6776;0;1962,425;0;-0,000114792;0
85;04.09.2020 11:11:05;3,287;0;108,81982;0;109,46862;0;1090,6965;0;1940,6563;0;1962,457;0;-0,000115323;0
86;04.09.2020 11:11:06;3,788;0;108,81982;0;109,47075;0;1090,6955;0;1940,6883;0;1962,4676;0;-0,000114792;0
87;04.09.2020 11:11:07;4,279;0;108,81769;0;109,47181;0;1090,6976;0;1940,6883;0;1962,4889;0;-0,000115429;0
88;04.09.2020 11:11:08;4,767;0;108,81875;0;109,47075;0;1090,6965;0;1940,6883;0;1962,4889;0;-0,000115004;0
89;04.09.2020 11:11:09;5,247;0;108,81769;0;109,46968;0;1090,6986;0;1940,6883;0;1962,4889;0;-0,000114898;0
90;04.09.2020 11:11:10;5,714;0;108,81982;0;109,47075;0;1090,6986;0;1940,6989;0;1962,4889;0;-0,000115642;0
91;04.09.2020 11:11:11;6,168;0;108,81982;0;109,47288;0;1090,7008;0;1940,7096;0;1962,4783;0;-0,000115535;0
92;04.09.2020 11:11:12;6,6;0;108,82089;0;109,46968;0;1090,7008;0;1940,7096;0;1962,4783;0;-0,000115004;0
93;04.09.2020 11:11:13;7,021;0;108,81982;0;109,47288;0;1090,7029;0;1940,7309;0;1962,4463;0;-0,000115642;0
94;04.09.2020 11:11:14;7,423;0;108,82089;0;109,47181;0;1090,704;0;1940,7522;0;1962,4037;0;-0,000115217;0
95;04.09.2020 11:11:15;7,824;0;108,82089;0;109,47288;0;1090,7061;0;1940,7309;0;1962,3504;0;-0,000115429;0
96;04.09.2020 11:11:16;8,216;0;108,82089;0;109,47288;0;1090,7104;0;1940,7629;0;1962,3078;0;-0,000115854;0
97;04.09.2020 11:11:17;8,675;0;108,82195;0;109,47394;0;1090,7125;0;1940,7522;0;1962,2545;0;-0,000115535;0
98;04.09.2020 11:11:18;8,854;0;108,81982;0;109,47288;0;1090,7189;0;1940,7735;0;1962,1693;0;-0,000115429;0
99;04.09.2020 11:11:19;7,713;0;108,82302;0;109,47394;0;1090,7221;0;1940,7735;0;1962,1267;0;-0,000114792;0
100;04.09.2020 11:11:20;5,758;0;108,82089;0;109,47394;0;1090,7221;0;1940,7842;0;1962,0947;0;-0,000115323;0
101;04.09.2020 11:11:21;4,18;0;108,82089;0;109,47394;0;1090,72;0;1940,7735;0;1962,116;0;-0,000115323;0
102;04.09.2020 11:11:22;2,829;0;108,82195;0;109,47394;0;1090,7189;0;1940,7629;0;1962,1267;0;-0,000115323;0
103;04.09.2020 11:11:23;1,773;0;108,82195;0;109,47501;0;1090,7178;0;1940,7416;0;1962,1586;0;-0,000115535;0
104;04.09.2020 11:11:24;0,962;0;108,82089;0;109,47394;0;1090,7157;0;1940,7416;0;1962,2013;0;-0,000115111;0
105;04.09.2020 11:11:25;0,333;0;108,82089;0;109,47394;0;1090,7114;0;1940,7416;0;1962,2439;0;-0,000116066;0
106;04.09.2020 11:11:26;-0,162;0;108,82195;0;109,47394;0;1090,7114;0;1940,7202;0;1962,2865;0;-0,000115748;0
107;04.09.2020 11:11:27;-0,551;0;108,82195;0;109,47501;0;1090,7114;0;1940,7522;0;1962,3078;0;-0,000115111;0
108;04.09.2020 11:11:28;-0,852;0;108,82408;0;109,47501;0;1090,7104;0;1940,7629;0;1962,3291;0;-0,000115217;0
109;04.09.2020 11:11:29;-1,08;0;108,82195;0;109,47501;0;1090,7114;0;1940,7522;0;1962,3185;0;-0,000116491;0
110;04.09.2020 11:11:30;-1,255;0;108,82302;0;109,47501;0;1090,7125;0;1940,7629;0;1962,3185;0;-0,000115748;0
111;04.09.2020 11:11:31;-1,381;0;108,82195;0;109,47501;0;1090,7125;0;1940,7522;0;1962,3078;0;-0,000115323;0
112;04.09.2020 11:11:32;-1,473;0;108,82195;0;109,47394;0;1090,7125;0;1940,7629;0;1962,2865;0;-0,000115854;0
113;04.09.2020 11:11:33;-1,534;0;108,82195;0;109,47501;0;1090,7146;0;1940,7522;0;1962,2865;0;-0,000115854;0
114;04.09.2020 11:11:34;-1,573;0;108,82302;0;109,47607;0;1090,7146;0;1940,7735;0;1962,2865;0;-0,000115429;0
115;04.09.2020 11:11:35;-1,588;0;108,82302;0;109,47501;0;1090,7136;0;1940,7735;0;1962,3185;0;-0,00011596;0
116;04.09.2020 11:11:36;-1,594;0;108,82195;0;109,47394;0;1090,7125;0;1940,7735;0;1962,3185;0;-0,000116491;0
117;04.09.2020 11:11:37;-1,584;0;108,82302;0;109,47714;0;1090,7146;0;1940,7842;0;1962,3291;0;-0,000115854;0
118;04.09.2020 11:11:38;-1,568;0;108,82515;0;109,47394;0;1090,7189;0;1940,8161;0;1962,3291;0;-0,000116491;0
119;04.09.2020 11:11:39;-1,541;0;108,82195;0;109,47607;0;1090,7274;0;1940,8374;0;1962,2865;0;-0,000116385;0
120;04.09.2020 11:11:40;-1,508;0;108,82408;0;109,47607;0;1090,7317;0;1940,8161;0;1962,2332;0;-0,000115642;0
121;04.09.2020 11:11:41;-1,471;0;108,82302;0;109,47607;0;1090,7359;0;1940,8268;0;1962,1693;0;-0,000116491;0
122;04.09.2020 11:11:42;-1,43;0;108,82408;0;109,47607;0;1090,737;0;1940,8481;0;1962,1267;0;-0,000116066;0
123;04.09.2020 11:11:43;-1,389;0;108,82515;0;109,47501;0;1090,7381;0;1940,8374;0;1962,1267;0;-0,000117128;0
124;04.09.2020 11:11:44;-1,341;0;108,82408;0;109,47714;0;1090,7381;0;1940,8374;0;1962,1054;0;-0,000116597;0
125;04.09.2020 11:11:45;-1,295;0;108,82408;0;109,47607;0;1090,737;0;1940,8374;0;1962,1054;0;-0,000116916;0
126;04.09.2020 11:11:46;-1,247;0;108,82302;0;109,47501;0;1090,7359;0;1940,8374;0;1962,116;0;-0,000117234;0
127;04.09.2020 11:11:47;-1,2;0;108,82515;0;109,4782;0;1090,737;0;1940,8588;0;1962,1267;0;-0,000116279;0
128;04.09.2020 11:11:48;-1,152;0;108,82515;0;109,47714;0;1090,737;0;1940,8694;0;1962,1267;0;-0,000117553;0
129;04.09.2020 11:11:49;-1,103;0;108,82621;0;109,47607;0;1090,7381;0;1940,8588;0;1962,116;0;-0,000116491;0
130;04.09.2020 11:11:50;-1,055;0;108,82408;0;109,47714;0;1090,737;0;1940,8481;0;1962,1054;0;-0,00011681;0
131;04.09.2020 11:11:51;-1,007;0;108,82515;0;109,47714;0;1090,7381;0;1940,8588;0;1962,1054;0;-0,00011681;0
132;04.09.2020 11:11:52;-0,958;0;108,82408;0;109,4782;0;1090,7413;0;1940,8481;0;1962,0627;0;-0,000117022;0
133;04.09.2020 11:11:53;-0,915;0;108,82408;0;109,47714;0;1090,7402;0;1940,8588;0;1962,0521;0;-0,000116916;0
134;04.09.2020 11:11:54;-0,867;0;108,82302;0;109,47714;0;1090,7381;0;1940,8588;0;1962,0414;0;-0,000117447;0
135;04.09.2020 11:11:55;-0,824;0;108,82621;0;109,47714;0;1090,7391;0;1940,8481;0;1962,0521;0;-0,000117659;0
136;04.09.2020 11:11:56;-0,782;0;108,82195;0;109,47607;0;1090,7402;0;1940,8374;0;1962,0521;0;-0,000117447;0
137;04.09.2020 11:11:57;-0,74;0;108,82302;0;109,4782;0;1090,7381;0;1940,8374;0;1962,0734;0;-0,000117447;0
138;04.09.2020 11:11:58;-0,694;0;108,82515;0;109,4782;0;1090,7402;0;1940,8481;0;1962,0734;0;-0,000117765;0
139;04.09.2020 11:11:59;-0,657;0;108,82408;0;109,47714;0;1090,7402;0;1940,8481;0;1962,0947;0;-0,000117234;0
140;04.09.2020 11:12:00;-0,617;0;108,82515;0;109,4782;0;1090,7391;0;1940,8374;0;1962,116;0;-0,000116703;0
141;04.09.2020 11:12:01;-0,58;0;108,82515;0;109,47927;0;1090,7381;0;1940,8694;0;1962,1054;0;-0,000117341;0
142;04.09.2020 11:12:02;-0,542;0;108,82408;0;109,4782;0;1090,737;0;1940,8481;0;1962,1054;0;-0,000117659;0
143;04.09.2020 11:12:03;-0,505;0;108,82515;0;109,4782;0;1090,737;0;1940,8481;0;1962,116;0;-0,000117234;0
144;04.09.2020 11:12:04;-0,47;0;108,82621;0;109,47927;0;1090,7338;0;1940,8588;0;1962,1267;0;-0,000117022;0
145;04.09.2020 11:12:05;-0,435;0;108,82408;0;109,4782;0;1090,7338;0;1940,8374;0;1962,1799;0;-0,000117234;0
146;04.09.2020 11:12:06;-0,402;0;108,82728;0;109,48033;0;1090,7338;0;1940,8588;0;1962,1906;0;-0,000117128;0
