Name:;Daten Ger. INSTR 04.09.2020 11:46:25
Verantwortlich:;Messlaptop
Kommentare:;
Datum der Datenerfassung:;04.09.2020 11:46:25
Messgerät:;34970A;Adresse:;ASRL8::INSTR;Module:;1;Steckplatz1:;34901A
Kanäle gesamt:;7
Kanal;Name;Funktion;Bereich;Auflösung;ErwEinstellungen;Skalieren;Verstärkung;Offset;Bezeichnung;Test;Niedrig;Hoch;Hardware-Alarm
101;Ref;Temp. 4-Draht-RTD;Keine;C;Temp 4-Wire RTD#1#0,016#Auto#0,001#C#0,00385 (DIN)#100;False;1;0;C;Aus;0;1;Alarm 1
102;P1_PT100_4L;4-Draht-Widerstand;Auto;5,5;Four-Wire Ohms#1#0,016#Auto##false;False;1;0;OHM;Aus;0;1;Alarm 1
103;P2_PT100_2L;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
104;P3_PT1000;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
105;KTY;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
106;NTC;2-Draht-Widerstand;Auto;5,5;Two-Wire Ohms#1#0,016#Auto#0,001#false;False;1;0;OHM;Aus;0;1;Alarm 1
107;TE;Gleichspannung;Auto;5,5;DC Voltage#10M#1#0,016#Auto#0,001;False;1;0;VDC;Aus;0;1;Alarm 1
Scan-Steuerung:;Aktion starten:;Sofort;Aktion stoppen::;Von Benutzer beendet
Scan;Zeit;101 <Ref> (C);Alarm 101;102 <P1_PT100_4L> (OHM);Alarm 102;103 <P2_PT100_2L> (OHM);Alarm 103;104 <P3_PT1000> (OHM);Alarm 104;105 <KTY> (OHM);Alarm 105;106 <NTC> (OHM);Alarm 106;107 <TE> (VDC);Alarm 107
60;04.09.2020 11:47:24;25,785;0;108,57221;0;110,43169;0;1097,3198;0;1942,6382;0;1999,0794;0;-0,000209939;0
61;04.09.2020 11:47:25;26,033;0;108,65675;0;110,53076;0;1098,2509;0;1945,9946;0;1981,8282;0;-0,000200806;0
62;04.09.2020 11:47:26;26,284;0;108,74171;0;110,62558;0;1099,1831;0;1949,3403;0;1964,652;0;-0,00019263;0
63;04.09.2020 11:47:27;26,534;0;108,82668;0;110,72359;0;1100,111;0;1952,7287;0;1947,5929;0;-0,000184028;0
64;04.09.2020 11:47:28;26,782;0;108,91249;0;110,82054;0;1101,0368;0;1956,1064;0;1930,683;0;-0,000175533;0
65;04.09.2020 11:47:29;27,029;0;108,99809;0;110,91429;0;1101,9604;0;1959,4842;0;1913,8477;0;-0,000166082;0
66;04.09.2020 11:47:30;27,278;0;109,08444;0;111,01124;0;1102,8766;0;1962,8938;0;1897,2468;0;-0,000158224;0
67;04.09.2020 11:47:31;27,523;0;109,17036;0;111,10499;0;1103,7886;0;1966,2716;0;1880,7523;0;-0,000149941;0
68;04.09.2020 11:47:32;27,766;0;109,25703;0;111,19874;0;1104,6973;0;1969,6706;0;1864,4178;0;-0,000141021;0
69;04.09.2020 11:47:33;28,008;0;109,34253;0;111,29142;0;1105,5922;0;1973,0483;0;1848,2857;0;-0,000131464;0
70;04.09.2020 11:47:34;28,246;0;109,43026;0;111,38411;0;1106,4882;0;1976,4367;0;1832,2922;0;-0,000123287;0
71;04.09.2020 11:47:35;28,482;0;109,51554;0;111,47573;0;1107,3724;0;1979,8037;0;1816,5331;0;-0,000114155;0
72;04.09.2020 11:47:36;28,715;0;109,60114;0;111,56415;0;1108,247;0;1983,1602;0;1800,9764;0;-0,000105872;0
73;04.09.2020 11:47:37;28,949;0;109,68675;0;111,65364;0;1109,1185;0;1986,5059;0;1785,6328;0;-9,7058E-05;0
